 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0 0 0 0 0
2 1 0 0 0.0014 0 0 0 0 0
3 1 0 0 0.002 0 0 0 0 0
4 1 0 0 0.0028 0 0 0 0 0
5 1 0 0 0.004 0 0 0 0 0
6 1 0 0 0.0057 0 0 0 0 0
7 1 0 0 0.008 0 0 0 0 0
8 1 0 0 0.011 0.001849365234375 0.00329347309309406 0 0.00634765625 0
9 1 0 0 0.016 0.031378173828125 0.0103771595000085 0.032470703125 0.037841796875 0.025634765625
10 1 0 0 0.023 0.157867431640625 0.0537629014849445 0.19482421875 0.2060546875 0.0970458984375
11 1 0 0 0.032 0.22574462890625 0.00822713154765541 0.22802734375 0.23388671875 0.219970703125
12 1 0 0 0.045 0.28040771484375 0.00639034296733319 0.2818603515625 0.2860107421875 0.2764892578125
13 1 0 0 0.064 0.329632568359375 0.0154445371515202 0.3258056640625 0.327880859375 0.325439453125
14 1 0 0 0.09 0.50006103515625 0.000105715991672905 0.5 0.5001220703125 0.5
15 1 0 0 0.128 0.75 0 0.75 0.75 0.75
16 1 0 0 0.18 1 0 1 1 1
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
