 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0 0 0 0 0
2 1 0 0 0.0014 0 0 0 0 0
3 1 0 0 0.002 0 0 0 0 0
4 1 0 0 0.0028 0 0 0 0 0
5 1 0 0 0.004 0 0 0 0 0
6 1 0 0 0.0057 0 0 0 0 0
7 1 0 0 0.008 0 0 0 0 0
8 1 0 0 0.011 0.0003173828125 0.00138343960610422 0 0 0
9 1 0 0 0.016 0.021875 0.00855708537179101 0.022216796875 0.0277099609375 0.015380859375
10 1 0 0 0.023 0.1085693359375 0.0421974558915358 0.093017578125 0.0989990234375 0.08642578125
11 1 0 0 0.032 0.21246337890625 0.0235220496694081 0.217529296875 0.2220458984375 0.21142578125
12 1 0 0 0.045 0.272772216796875 0.00872879345072415 0.272216796875 0.278076171875 0.2667236328125
13 1 0 0 0.064 0.324749755859375 0.00169817091982934 0.3243408203125 0.32666015625 0.323486328125
14 1 0 0 0.09 0.489599609375 0.0313656003937677 0.5 0.5001220703125 0.5
15 1 0 0 0.128 0.725 0.0499999999999995 0.75 0.75 0.75
16 1 0 0 0.18 1 0 1 1 1
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
