 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0.006280517578125 0.00109351768751277 0.0062255859375 0.007080078125 0.0057373046875
2 1 0 0 0.0014 0.008331298828125 0.00176722865575328 0.0081787109375 0.0101318359375 0.0069580078125
3 1 0 0 0.002 0.010888671875 0.00141338235083335 0.0111083984375 0.0120849609375 0.009765625
4 1 0 0 0.0028 0.0158203125 0.0017913168484339 0.015625 0.0167236328125 0.014892578125
5 1 0 0 0.004 0.023492431640625 0.00162334010738016 0.023681640625 0.0247802734375 0.0220947265625
6 1 0 0 0.0057 0.031884765625 0.00245740606848336 0.0321044921875 0.0328369140625 0.0308837890625
7 1 0 0 0.008 0.04320068359375 0.00309584848923056 0.042724609375 0.0465087890625 0.04150390625
8 1 0 0 0.011 0.060693359375 0.00242751173132467 0.0604248046875 0.063232421875 0.058837890625
9 1 0 0 0.016 0.08802490234375 0.00603636152460267 0.089111328125 0.0926513671875 0.0843505859375
10 1 0 0 0.023 0.12293701171875 0.00359162724038856 0.1236572265625 0.1253662109375 0.12109375
11 1 0 0 0.032 0.17001953125 0.00588735891606433 0.170654296875 0.176025390625 0.164794921875
12 1 0 0 0.045 0.237994384765625 0.00773190651621705 0.2391357421875 0.244140625 0.2349853515625
13 1 0 0 0.064 0.332403564453125 0.00803399573788069 0.3350830078125 0.33935546875 0.3248291015625
14 1 0 0 0.09 0.46627197265625 0.010476954362499 0.466064453125 0.4761962890625 0.4603271484375
15 1 0 0 0.128 0.674072265625 0.0096394590541412 0.6724853515625 0.6834716796875 0.6649169921875
16 1 0 0 0.18 0.99793701171875 0.00250910175017052 0.99951171875 1 0.9969482421875
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
