 SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit
1 0 0 0 0 0
2 0 0 .001 0.00985107421875 0.00134393814898836
3 0 0 .0014 0.0129150390625 0.00168951662859336
4 0 0 .002 0.01929931640625 0.00287964358780115
5 0 0 .0028 0.02672119140625 0.00314195325861352
6 0 0 .004 0.134521484375 0.288507273698016
7 0 0 .0057 0.05257568359375 0.00426444910071438
8 0 0 .008 0.26724853515625 0.574992200161028
9 0 0 .011 1.42066650390625 0.869262085817839
10 0 0 .016 1.8606689453125 0.287067644888339
11 0 0 .023 1.91324462890625 0.00937322758770103
12 0 0 .032 1.8619384765625 0.0102982787129051
13 0 0 .045 1.71253662109375 0.237623585682733
14 0 0 .064 1.54498291015625 0.272730060686416
15 0 0 .09 1.42750244140625 0.214202481813082
16 0 0 .128 1.280419921875 0.0942451877731472
