 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0 0 0 0 0
2 1 0 0 0.0014 0 0 0 0 0
3 1 0 0 0.002 0 0 0 0 0
4 1 0 0 0.0028 0 0 0 0 0
5 1 0 0 0.004 0 0 0 0 0
6 1 0 0 0.0057 0 0 0 0 0
7 1 0 0 0.008 0 0 0 0 0
8 1 0 0 0.011 0.000956217447916667 0.00317141449273079 0 0 0
9 1 0 0 0.016 0.0252176920572917 0.00698445223178401 0.0281982421875 0.0306396484375 0.0224609375
10 1 0 0 0.023 0.104054768880208 0.0420167676070358 0.0867919921875 0.0960693359375 0.0821533203125
11 1 0 0 0.032 0.222015380859375 0.00541853901402094 0.2235107421875 0.2255859375 0.2183837890625
12 1 0 0 0.045 0.269989013671875 0.0114263643077967 0.2742919921875 0.2779541015625 0.2615966796875
13 1 0 0 0.064 0.325653076171875 0.00165443556743528 0.32568359375 0.3265380859375 0.3248291015625
14 1 0 0 0.09 0.482767740885417 0.0387548677829109 0.5001220703125 0.5001220703125 0.5
15 1 0 0 0.128 0.708333333333333 0.0589255650988789 0.75 0.75 0.625
16 1 0 0 0.18 1 0 1 1 1
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
