 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0.005126953125 0.000888685289218813 0.0050048828125 0.0054931640625 0.0045166015625
2 1 0 0 0.0014 0.007843017578125 0.000921779056448733 0.008056640625 0.008544921875 0.0072021484375
3 1 0 0 0.002 0.0107930501302083 0.00133949418816945 0.010986328125 0.0118408203125 0.01025390625
4 1 0 0 0.0028 0.0144449869791667 0.00196031729662205 0.014404296875 0.0164794921875 0.013427734375
5 1 0 0 0.004 0.0222676595052083 0.00211928168402085 0.0228271484375 0.0233154296875 0.0205078125
6 1 0 0 0.0057 0.0297953287760417 0.00235201033435862 0.0308837890625 0.0321044921875 0.02880859375
7 1 0 0 0.008 0.0408223470052083 0.00326503224953124 0.040771484375 0.0445556640625 0.037841796875
8 1 0 0 0.011 0.0559895833333333 0.00329149996661332 0.05615234375 0.0579833984375 0.0550537109375
9 1 0 0 0.016 0.08148193359375 0.00423494855461412 0.08154296875 0.0828857421875 0.0797119140625
10 1 0 0 0.023 0.115203857421875 0.00389163940615496 0.11572265625 0.1192626953125 0.1123046875
11 1 0 0 0.032 0.156219482421875 0.00280590281459323 0.1552734375 0.1591796875 0.154296875
12 1 0 0 0.045 0.220804850260417 0.00615554672372413 0.221923828125 0.22412109375 0.21875
13 1 0 0 0.064 0.310750325520833 0.00627452752933958 0.3121337890625 0.315673828125 0.3092041015625
14 1 0 0 0.09 0.439839680989583 0.00763140164571211 0.43994140625 0.447021484375 0.43896484375
15 1 0 0 0.128 0.658711751302083 0.0123552437613474 0.662353515625 0.6708984375 0.64892578125
16 1 0 0 0.18 0.997843424479167 0.00212096558106528 0.998291015625 1 0.9970703125
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
